Index,acronym,team_name
1,BOU,AFC Bournemouth
2,ARS,Arsenal
3,AVA,Aston Villa
4,BHA,Brighton Hove Albion
5,BUR,Burnley
6,CHE,Chelsea
7,CRY,Crystal Palace
8,EVE,Everton
9,LEI,Leicester City
10,LIV,Liverpool
11,MCI,Manchester City
12,MUN,Manchester United
13,NEW,Newcastle United
14,NOR,Norwich City
15,SHU,Sheffield United
16,SOU,Southampton
17,TOT,Tottenham Hotspur
18,WAT,Watford
19,WHU,West Ham United
20,WLV,Wolverhampton Wanderers
21,ATL,Atlanta United
22,CHI,Chicago Fire
23,CLR,Colorado Rapids
24,COL,Columbus Crew SC
25,DCU,D.C. United
26,CIN,FC Cincinnati
27,DAL,FC Dallas
28,HOU,Houston Dynamo
29,MIA,Inter Miami
30,LAF,Los Angeles FC
31,LAG,Los Angeles Galaxy
32,MIN,Minnesota United FC
33,MLS,MLS All Stars
34,MTL,Montreal Impact
35,NSC,Nashville SC
36,NER,New England Revolution
37,NYC,New York City
38,NYR,New York Red Bulls
39,ORL,Orlando City
40,PHI,Philadelphia Union
41,POT,Portland Timbers
42,RSL,Real Salt Lake
43,SJE,San Jose Earthquakes
44,SEA,Seattle Sounders
45,SKC,Sporting Kansas City
46,TFC,Toronto FC
47,VAN,Vancouver Whitecaps
48,SF,49ers
49,CHI,Bears
50,CIN,Bengals
51,BUF,Bills
52,DEN,Broncos
53,CLE,Browns
54,ARI,Cardinals
55,LAC,Chargers
56,KC,Chiefs
57,IND,Colts
58,DAL,Cowboys
59,MIA,Dolphins
60,PHI,Eagles
61,ATL,Falcons
62,NYG,Giants
63,JAC,Jaguars
64,NYJ,Jets
65,DET,Lions
66,GB,Packers
67,CAR,Panthers
68,NEP,Patriots
69,OAK,Raiders
70,LAR,Rams
71,BAL,Ravens
72,WAS,Redskins
73,NO,Saints
74,SEA,Seahawks
75,PIT,Steelers
76,TB,Tampa Bay
77,HOU,Texans
78,TEN,Titans
79,MIN,Vikings
80,COL,Avalanche
81,CHI,Blackhawks
82,CBJ,Blue Jackets
83,STL,Blues
84,BOS,Bruins
85,MTL,Canadiens
86,VAN,Canucks
87,WSH,Capitals
88,ARI,Coyotes
89,NJD,Devils
90,ANA,Ducks
91,CGY,Flames
92,PHI,Flyers
93,VGK,Golden Knights
94,CAR,Hurricanes
95,NYI,Islanders
96,WPG,Jets
97,LAK,Kings
98,TBL,Lightning
99,TOR,Maple Leafs
100,EDM,Oilers
101,FLA,Panthers
102,PIT,Penguins
103,NSH,Predators
104,NYR,Rangers
105,DET,Red Wings
106,BUF,Sabres
107,OTT,Senators
108,SJS,Sharks
109,DAL,Stars
110,MIN,Wild
111,BC,Boston College
112,CLEM,Clemson
113,DUKE,Duke
114,FSU,Florida State
115,GT,Georgia Tech
116,LOU,Louisville
117,MIA,Miami (FL)
118,NCST,NC State
119,PITT,Pittsburgh
120,SYR,Syracuse
121,UNC,North Carolina
122,UVA,Virginia
123,VT,Virginia Tech
124,WAKE,Wake Forest
125,ILL,Illinois
126,IND,Indiana
127,IOWA,Iowa
128,MICH,Michigan
129,MSU,Michigan State
130,MINN,Minnesota
131,NEB,Nebraska
132,NW,Northwestern
133,OSU,Ohio State
134,PSU,Penn State
135,PUR,Purdue
136,RUTG,Rutgers
137,UMD,Maryland
138,WIS,Wisconsin
139,BAY,Baylor
140,ISU,Iowa State
141,KU,Kansas
142,KSU,Kansas State
143,OKL,Oklahoma
144,OKS,Oklahoma State
145,TCU,TCU
146,TEX,Texas
147,TTU,Texas Tech
148,WVU,West Virginia
149,ARZ,Arizona
150,ASU,Arizona State
151,CAL,Cal
152,COL,Colorado
153,ORE,Oregon
154,OST,Oregon State
155,STAN,Stanford
156,UCLA,UCLA
157,USC,USC
158,UTAH,Utah
159,WASH,Washington
160,WSU,Washington State
161,ALA,Alabama
162,ARK,Arkansas
163,AUB,Auburn
164,FLA,Florida
165,UGA,Georgia
166,UK,Kentucky
167,LSU,LSU
168,MISS,Ole Miss
169,MSST,Mississippi State
170,MIZ,Missouri
171,SC,South Carolina
172,TENN,Tennessee
173,TAMU,Texas A&M
174,VAN,Vanderbilt
175,BYU,BYU
176,ARMY,Army
177,UMASS,UMass
178,ND,Notre Dame
179,CIN,Cincinnati
180,CONN,UConn
181,ECU,ECU
182,HOU,Houston
183,MEM,Memphis
184,NAVY,Navy
185,SMU,SMU
186,USF,South Florida
187,TEM,Temple
188,TULN,Tulane
189,TLSA,Tulsa
190,UCF,UCF
191,CHAR,Charlotte
192,FAU,FAU
193,FIU,FIU
194,LT,Louisiana Tech
195,MRSH,Marshall
196,MTSU,Middle Tennessee
197,UNT,North Texas
