acronym,team_name
BOU,AFC Bournemouth
ARS,Arsenal
AVA,Aston Villa
BHA,Brighton Hove Albion
BUR,Burnley
CHE,Chelsea
CRY,Crystal Palace
EVE,Everton
LEI,Leicester City
LIV,Liverpool
MCI,Manchester City
MUN,Manchester United
NEW,Newcastle United
NOR,Norwich City
SHU,Sheffield United
SOU,Southampton
TOT,Tottenham Hotspur
WAT,Watford
WHU,West Ham United
WLV,Wolverhampton Wanderers
ATL,Atlanta United
CHI,Chicago Fire
CLR,Colorado Rapids
COL,Columbus Crew SC
DCU,D.C. United
CIN,FC Cincinnati
DAL,FC Dallas
HOU,Houston Dynamo
MIA,Inter Miami
LAF,Los Angeles FC
LAG,Los Angeles Galaxy
MIN,Minnesota United FC
MLS,MLS All Stars
MTL,Montreal Impact
NSC,Nashville SC
NER,New England Revolution
NYC,New York City
NYR,New York Red Bulls
ORL,Orlando City
PHI,Philadelphia Union
POT,Portland Timbers
RSL,Real Salt Lake
SJE,San Jose Earthquakes
SEA,Seattle Sounders
SKC,Sporting Kansas City
TFC,Toronto FC
VAN,Vancouver Whitecaps
SF,49ers
CHI,Bears
CIN,Bengals
BUF,Bills
DEN,Broncos
CLE,Browns
ARI,Cardinals
LAC,Chargers
KC,Chiefs
IND,Colts
DAL,Cowboys
MIA,Dolphins
PHI,Eagles
ATL,Falcons
NYG,Giants
JAC,Jaguars
NYJ,Jets
DET,Lions
GB,Packers
CAR,Panthers
NEP,Patriots
OAK,Raiders
LAR,Rams
BAL,Ravens
WAS,Redskins
NO,Saints
SEA,Seahawks
PIT,Steelers
TB,Tampa Bay
HOU,Texans
TEN,Titans
MIN,Vikings
COL,Avalanche
CHI,Blackhawks
CBJ,Blue Jackets
STL,Blues
BOS,Bruins
MTL,Canadiens
VAN,Canucks
WSH,Capitals
ARI,Coyotes
NJD,Devils
ANA,Ducks
CGY,Flames
PHI,Flyers
VGK,Golden Knights
CAR,Hurricanes
NYI,Islanders
WPG,Jets
LAK,Kings
TBL,Lightning
TOR,Maple Leafs
EDM,Oilers
FLA,Panthers
PIT,Penguins
NSH,Predators
NYR,Rangers
DET,Red Wings
BUF,Sabres
OTT,Senators
SJS,Sharks
DAL,Stars
MIN,Wild
BC,Boston College
CLEM,Clemson
DUKE,Duke
FSU,Florida State
GT,Georgia Tech
LOU,Louisville
MIA,Miami (FL)
NCST,NC State
PITT,Pittsburgh
SYR,Syracuse
UNC,North Carolina
UVA,Virginia
VT,Virginia Tech
WAKE,Wake Forest
ILL,Illinois
IND,Indiana
IOWA,Iowa
MICH,Michigan
MSU,Michigan State
MINN,Minnesota
NEB,Nebraska
NW,Northwestern
OSU,Ohio State
PSU,Penn State
PUR,Purdue
RUTG,Rutgers
UMD,Maryland
WIS,Wisconsin
BAY,Baylor
ISU,Iowa State
